experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8372093023255814,144,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.7848837209302325,135,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.8176100628930818,130,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.8616352201257862,137,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,1,0.6863905325443787,116,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,2,0.7041420118343196,119,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,3,0.4911242603550296,83,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3000,4,0.5266272189349113,89,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8197674418604651,141,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.7848837209302325,135,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.8113207547169812,129,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.8742138364779874,139,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,1,0.7218934911242604,122,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,2,0.7337278106508875,124,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,3,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,3500,4,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.8488372093023255,146,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.8081395348837209,139,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.8805031446540881,140,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,3,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,1,0.7514792899408284,127,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,2,0.7396449704142012,125,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,3,0.5207100591715976,88,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4000,4,0.5325443786982249,90,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,1,0.8313953488372093,143,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,2,0.8023255813953488,138,172,2
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,1,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,2,0.8490566037735849,135,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,3,0.8553459119496856,136,159,3
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,1,0.7337278106508875,124,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,2,0.7692307692307693,130,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,3,0.5088757396449705,86,169,4
Qwen/Qwen3-0.6B/0913__curr=random__training_seed=1,4500,4,0.5325443786982249,90,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,1,0.872093023255814,150,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,2,0.7965116279069767,137,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,1,0.8616352201257862,137,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,2,0.8867924528301887,141,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,3,0.8427672955974843,134,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,1,0.7455621301775148,126,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,2,0.7988165680473372,135,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,3,0.5088757396449705,86,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,0,4,0.44970414201183434,76,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,1,0.8662790697674418,149,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,2,0.7906976744186046,136,172,2
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,1,0.8490566037735849,135,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,2,0.8742138364779874,139,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,3,0.8742138364779874,139,159,3
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,1,0.7396449704142012,125,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,2,0.7869822485207101,133,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,3,0.514792899408284,87,169,4
Qwen/Qwen3-1.7B/0913__curr=random__training_seed=1,500,4,0.5088757396449705,86,169,4
