experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3000,4,0.3717948717948718,29,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.8900709219858156,251,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.475177304964539,134,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.8142857142857143,114,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.6928571428571428,97,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,3,0.4357142857142857,61,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,1,0.782051282051282,61,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,2,0.5897435897435898,46,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,3,0.5512820512820513,43,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,3500,4,0.2948717948717949,23,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.9113475177304965,257,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.42907801418439717,121,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.8571428571428571,120,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.7642857142857142,107,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,3,0.4142857142857143,58,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,1,0.7564102564102564,59,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,2,0.7051282051282052,55,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,3,0.6923076923076923,54,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4000,4,0.3333333333333333,26,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,1,0.9042553191489362,255,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,2,0.43617021276595747,123,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,1,0.8071428571428572,113,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,2,0.7142857142857143,100,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,3,0.42857142857142855,60,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,1,0.7435897435897436,58,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,2,0.7051282051282052,55,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,3,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,4500,4,0.4230769230769231,33,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,1,0.8865248226950354,250,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,2,0.4326241134751773,122,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,1,0.8357142857142857,117,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,2,0.7285714285714285,102,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,3,0.45,63,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,1,0.7948717948717948,62,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,2,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,3,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5000,4,0.2692307692307692,21,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,1,0.8865248226950354,250,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,2,0.4326241134751773,122,282,2
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,1,0.8357142857142857,117,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,2,0.7285714285714285,102,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,3,0.45,63,140,3
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,1,0.7948717948717948,62,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,2,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,3,0.6538461538461539,51,78,4
Qwen/Qwen3-0.6B/1108__curr=random__training_seed=1,5500,4,0.2692307692307692,21,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,1,0.9184397163120568,259,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,2,0.6028368794326241,170,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,1,0.85,119,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,2,0.8714285714285714,122,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,3,0.5428571428571428,76,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,1,0.8717948717948718,68,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,2,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,3,0.7692307692307693,60,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,0,4,0.46153846153846156,36,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,1,0.925531914893617,261,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,2,0.6028368794326241,170,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,1,0.8714285714285714,122,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,2,0.8857142857142857,124,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,3,0.5857142857142857,82,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,1,0.8205128205128205,64,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,2,0.717948717948718,56,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,3,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,500,4,0.44871794871794873,35,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,1,0.9326241134751773,263,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,2,0.5851063829787234,165,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,1,0.8857142857142857,124,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,2,0.9,126,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,3,0.6071428571428571,85,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,1,0.8333333333333334,65,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,1000,2,0.7692307692307693,60,78,4
