,HotpotQA,2Wiki,MuSiQue,CofCA,SynthWorlds-RM
base,0.659 ± 0.019,0.654 ± 0.020,0.377 ± 0.020,0.582 ± 0.019,0.560 ± 0.020
PhantomWiki,0.692 ± 0.017,0.781 ± 0.017,0.461 ± 0.020,0.586 ± 0.019,0.525 ± 0.019
HotpotQA,0.736 ± 0.017,0.612 ± 0.021,0.458 ± 0.020,0.529 ± 0.020,0.621 ± 0.020
